iter	Passed	Remaining
0	0	65
1	1	60
2	1	56
3	2	51
4	2	50
5	3	49
6	3	48
7	4	47
8	4	47
9	5	46
10	5	45
11	6	45
12	6	44
13	7	43
14	7	43
15	8	43
16	8	42
17	9	42
18	9	41
19	10	40
20	10	40
21	11	39
22	11	39
23	12	38
24	12	38
25	13	38
26	13	37
27	14	37
28	14	36
29	15	36
30	16	35
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	22	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	34	18
65	34	17
66	35	17
67	35	16
68	36	16
69	36	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	47	7
87	47	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
